Id,Name,Team,Games,Year,Season
0,A Dijiang,China,1992 Summer,1992,Summer
1,A Lamusi,China,2012 Summer,2012,Summer
2,Gunnar Nielsen Aaby,Denmark,1920 Summer,1920,Summer
3,Edgar Lindenau Aabye,Denmark/Sweden,1900 Summer,1900,Summer
4,Christine Jacoba Aaftink,Netherlands,1988 Winter,1988,Winter
5,Christine Jacoba Aaftink,Netherlands,1988 Winter,1988,Winter
6,Christine Jacoba Aaftink,Netherlands,1992 Winter,1992,Winter
7,Christine Jacoba Aaftink,Netherlands,1992 Winter,1992,Winter
8,Christine Jacoba Aaftink,Netherlands,1994 Winter,1994,Winter
9,Christine Jacoba Aaftink,Netherlands,1994 Winter,1994,Winter
10,Per Knut Aaland,United States,1992 Winter,1992,Winter
11,Per Knut Aaland,United States,1992 Winter,1992,Winter
12,Per Knut Aaland,United States,1992 Winter,1992,Winter
13,Per Knut Aaland,United States,1992 Winter,1992,Winter
14,Per Knut Aaland,United States,1994 Winter,1994,Winter
15,Per Knut Aaland,United States,1994 Winter,1994,Winter
16,Per Knut Aaland,United States,1994 Winter,1994,Winter
17,Per Knut Aaland,United States,1994 Winter,1994,Winter
18,John Aalberg,United States,1992 Winter,1992,Winter
19,John Aalberg,United States,1992 Winter,1992,Winter
20,John Aalberg,United States,1992 Winter,1992,Winter
21,John Aalberg,United States,1992 Winter,1992,Winter
22,John Aalberg,United States,1994 Winter,1994,Winter
23,John Aalberg,United States,1994 Winter,1994,Winter
24,John Aalberg,United States,1994 Winter,1994,Winter
25,John Aalberg,United States,1994 Winter,1994,Winter
26,"Cornelia ""Cor"" Aalten (-Strannood)",Netherlands,1932 Summer,1932,Summer
27,"Cornelia ""Cor"" Aalten (-Strannood)",Netherlands,1932 Summer,1932,Summer
28,Antti Sami Aalto,Finland,2002 Winter,2002,Winter
29,"Einar Ferdinand ""Einari"" Aalto",Finland,1952 Summer,1952,Summer
30,Jorma Ilmari Aalto,Finland,1980 Winter,1980,Winter
31,Jyri Tapani Aalto,Finland,2000 Summer,2000,Summer
32,Minna Maarit Aalto,Finland,1996 Summer,1996,Summer
33,Minna Maarit Aalto,Finland,2000 Summer,2000,Summer
34,Pirjo Hannele Aalto (Mattila-),Finland,1994 Winter,1994,Winter
35,Arvo Ossian Aaltonen,Finland,1912 Summer,1912,Summer
36,Arvo Ossian Aaltonen,Finland,1912 Summer,1912,Summer
37,Arvo Ossian Aaltonen,Finland,1920 Summer,1920,Summer
38,Arvo Ossian Aaltonen,Finland,1920 Summer,1920,Summer
39,Arvo Ossian Aaltonen,Finland,1924 Summer,1924,Summer
40,Juhamatti Tapio Aaltonen,Finland,2014 Winter,2014,Winter
