Id,Name,Team,Games,Year,Season
0,A Dijiang,China,1992 Summer,1992,Summer
1,A Lamusi,China,2012 Summer,2012,Summer
2,Gunnar Nielsen Aaby,Denmark,1920 Summer,1920,Summer
3,Edgar Lindenau Aabye,Denmark/Sweden,1900 Summer,1900,Summer
4,Christine Jacoba Aaftink,Netherlands,1988 Winter,1988,Winter
5,Christine Jacoba Aaftink,Netherlands,1988 Winter,1988,Winter
6,Christine Jacoba Aaftink,Netherlands,1992 Winter,1992,Winter
7,Christine Jacoba Aaftink,Netherlands,1992 Winter,1992,Winter
8,Christine Jacoba Aaftink,Netherlands,1994 Winter,1994,Winter
9,Christine Jacoba Aaftink,Netherlands,1994 Winter,1994,Winter
10,Per Knut Aaland,United States,1992 Winter,1992,Winter
11,Per Knut Aaland,United States,1992 Winter,1992,Winter
12,Per Knut Aaland,United States,1992 Winter,1992,Winter
13,Per Knut Aaland,United States,1992 Winter,1992,Winter
14,Per Knut Aaland,United States,1994 Winter,1994,Winter
15,Per Knut Aaland,United States,1994 Winter,1994,Winter
16,Per Knut Aaland,United States,1994 Winter,1994,Winter
17,Per Knut Aaland,United States,1994 Winter,1994,Winter
18,John Aalberg,United States,1992 Winter,1992,Winter
19,John Aalberg,United States,1992 Winter,1992,Winter
20,John Aalberg,United States,1992 Winter,1992,Winter
21,John Aalberg,United States,1992 Winter,1992,Winter
22,John Aalberg,United States,1994 Winter,1994,Winter
23,John Aalberg,United States,1994 Winter,1994,Winter
24,John Aalberg,United States,1994 Winter,1994,Winter
25,John Aalberg,United States,1994 Winter,1994,Winter
26,"Cornelia ""Cor"" Aalten (-Strannood)",Netherlands,1932 Summer,1932,Summer
27,"Cornelia ""Cor"" Aalten (-Strannood)",Netherlands,1932 Summer,1932,Summer
28,Antti Sami Aalto,Finland,2002 Winter,2002,Winter
29,"Einar Ferdinand ""Einari"" Aalto",Finland,1952 Summer,1952,Summer
30,Jorma Ilmari Aalto,Finland,1980 Winter,1980,Winter
31,Jyri Tapani Aalto,Finland,2000 Summer,2000,Summer
32,Minna Maarit Aalto,Finland,1996 Summer,1996,Summer
33,Minna Maarit Aalto,Finland,2000 Summer,2000,Summer
34,Pirjo Hannele Aalto (Mattila-),Finland,1994 Winter,1994,Winter
35,Arvo Ossian Aaltonen,Finland,1912 Summer,1912,Summer
36,Arvo Ossian Aaltonen,Finland,1912 Summer,1912,Summer
37,Arvo Ossian Aaltonen,Finland,1920 Summer,1920,Summer
38,Arvo Ossian Aaltonen,Finland,1920 Summer,1920,Summer
39,Arvo Ossian Aaltonen,Finland,1924 Summer,1924,Summer
40,Juhamatti Tapio Aaltonen,Finland,2014 Winter,2014,Winter
41,Paavo Johannes Aaltonen,Finland,1948 Summer,1948,Summer
42,Paavo Johannes Aaltonen,Finland,1948 Summer,1948,Summer
43,Paavo Johannes Aaltonen,Finland,1948 Summer,1948,Summer
44,Paavo Johannes Aaltonen,Finland,1948 Summer,1948,Summer
45,Paavo Johannes Aaltonen,Finland,1948 Summer,1948,Summer
46,Paavo Johannes Aaltonen,Finland,1948 Summer,1948,Summer
47,Paavo Johannes Aaltonen,Finland,1948 Summer,1948,Summer
48,Paavo Johannes Aaltonen,Finland,1948 Summer,1948,Summer
49,Paavo Johannes Aaltonen,Finland,1952 Summer,1952,Summer
50,Paavo Johannes Aaltonen,Finland,1952 Summer,1952,Summer
51,Paavo Johannes Aaltonen,Finland,1952 Summer,1952,Summer
52,Paavo Johannes Aaltonen,Finland,1952 Summer,1952,Summer
53,Paavo Johannes Aaltonen,Finland,1952 Summer,1952,Summer
54,Paavo Johannes Aaltonen,Finland,1952 Summer,1952,Summer
55,Paavo Johannes Aaltonen,Finland,1952 Summer,1952,Summer
56,Paavo Johannes Aaltonen,Finland,1952 Summer,1952,Summer
57,Timo Antero Aaltonen,Finland,2000 Summer,2000,Summer
58,Win Valdemar Aaltonen,Finland,1948 Summer,1948,Summer
59,Kjetil Andr Aamodt,Norway,1992 Winter,1992,Winter
60,Kjetil Andr Aamodt,Norway,1992 Winter,1992,Winter
61,Kjetil Andr Aamodt,Norway,1992 Winter,1992,Winter
62,Kjetil Andr Aamodt,Norway,1992 Winter,1992,Winter
63,Kjetil Andr Aamodt,Norway,1994 Winter,1994,Winter
64,Kjetil Andr Aamodt,Norway,1994 Winter,1994,Winter
65,Kjetil Andr Aamodt,Norway,1994 Winter,1994,Winter
66,Kjetil Andr Aamodt,Norway,1994 Winter,1994,Winter
67,Kjetil Andr Aamodt,Norway,1994 Winter,1994,Winter
68,Kjetil Andr Aamodt,Norway,1998 Winter,1998,Winter
69,Kjetil Andr Aamodt,Norway,1998 Winter,1998,Winter
70,Kjetil Andr Aamodt,Norway,1998 Winter,1998,Winter
71,Kjetil Andr Aamodt,Norway,1998 Winter,1998,Winter
72,Kjetil Andr Aamodt,Norway,2002 Winter,2002,Winter
73,Kjetil Andr Aamodt,Norway,2002 Winter,2002,Winter
74,Kjetil Andr Aamodt,Norway,2002 Winter,2002,Winter
75,Kjetil Andr Aamodt,Norway,2002 Winter,2002,Winter
76,Kjetil Andr Aamodt,Norway,2002 Winter,2002,Winter
77,Kjetil Andr Aamodt,Norway,2006 Winter,2006,Winter
78,Kjetil Andr Aamodt,Norway,2006 Winter,2006,Winter
79,Ragnhild Margrethe Aamodt,Norway,2008 Summer,2008,Summer
80,Andreea Aanei,Romania,2016 Summer,2016,Summer
81,Fritz Aanes,Norway,2000 Summer,2000,Summer
82,Fritz Aanes,Norway,2004 Summer,2004,Summer
83,Nils Egil Aaness,Norway,1960 Winter,1960,Winter
84,Nils Egil Aaness,Norway,1960 Winter,1960,Winter
85,Nils Egil Aaness,Norway,1964 Winter,1964,Winter
86,Alf Lied Aanning,Norway,1920 Summer,1920,Summer
87,Agnes Erika Aanonsen (-Eyde),Norway,1984 Winter,1984,Winter
88,Johan Aantjes,Netherlands,1984 Summer,1984,Summer
89,Jan-Erik Aarberg,Norway,1968 Summer,1968,Summer
90,Jan-Erik Aarberg,Norway,1972 Summer,1972,Summer
91,Willemien Aardenburg,Netherlands,1988 Summer,1988,Summer
92,Pepijn Aardewijn,Netherlands,1996 Summer,1996,Summer
93,Pepijn Aardewijn,Netherlands,2000 Summer,2000,Summer
94,Evald rma (rman-),Estonia,1936 Summer,1936,Summer
95,Olav Augunson Aarnes,Norway,1912 Summer,1912,Summer
96,Mika Lauri Aarnikka,Finland,1992 Summer,1992,Summer
97,Mika Lauri Aarnikka,Finland,1996 Summer,1996,Summer
98,Jamale (Djamel-) Aarrass (Ahrass-),France,2012 Summer,2012,Summer
99,Dagfinn Sverre Aarskog,Norway,1998 Winter,1998,Winter
100,Stefan Remco Aartsen,Netherlands,1996 Summer,1996,Summer
101,Stefan Remco Aartsen,Netherlands,1996 Summer,1996,Summer
102,Stefan Remco Aartsen,Netherlands,1996 Summer,1996,Summer
103,Stefan Remco Aartsen,Netherlands,2000 Summer,2000,Summer
104,Stefan Remco Aartsen,Netherlands,2000 Summer,2000,Summer
105,Ann Kristin Aarnes,Norway,1996 Summer,1996,Summer
106,Karl Jan Aas,Norway,1920 Summer,1920,Summer
107,Lars Thorlaksn Aas,Norway,1912 Summer,1912,Summer
108,Lars Thorlaksn Aas,Norway,1912 Summer,1912,Summer
109,Lars Thorlaksn Aas,Norway,1912 Summer,1912,Summer
110,Roald Edgar Aas,Norway,1952 Winter,1952,Winter
111,Roald Edgar Aas,Norway,1956 Winter,1956,Winter
112,Roald Edgar Aas,Norway,1956 Winter,1956,Winter
113,Roald Edgar Aas,Norway,1960 Winter,1960,Winter
114,Roald Edgar Aas,Norway,1960 Winter,1960,Winter
115,Roald Edgar Aas,Norway,1960 Winter,1960,Winter
116,Rolf Aas,Norway,1920 Summer,1920,Summer
117,Thomas Valentin Aas,Taifun,1912 Summer,1912,Summer
118,Morten Gjerdrum Aasen,Norway,1992 Summer,1992,Summer
119,Meelis Aasme,Estonia,1998 Winter,1998,Winter
120,Meelis Aasme,Estonia,1998 Winter,1998,Winter
121,Meelis Aasme,Estonia,2002 Winter,2002,Winter
122,Meelis Aasme,Estonia,2002 Winter,2002,Winter
123,Meelis Aasme,Estonia,2002 Winter,2002,Winter
124,Hakon Aasns,Norway,1936 Summer,1936,Summer
125,Hans Aasns,Norway,1936 Summer,1936,Summer
126,Hans Aasns,Norway,1948 Summer,1948,Summer
127,Hans Aasns,Norway,1952 Summer,1952,Summer
128,Hans Aasns,Norway,1956 Summer,1956,Summer
129,Hans Aasns,Norway,1960 Summer,1960,Summer
130,Erling Rudolf Aastad,Norway,1920 Summer,1920,Summer
131,Erling Rudolf Aastad,Norway,1920 Summer,1920,Summer
132,Erling Rudolf Aastad,Norway,1924 Summer,1924,Summer
133,Erling Rudolf Aastad,Norway,1928 Summer,1928,Summer
134,Abdelhak Aatakni,Morocco,2012 Summer,2012,Summer
135,Moonika Aava,Estonia,2004 Summer,2004,Summer
136,Moonika Aava,Estonia,2008 Summer,2008,Summer
137,Arvi Aavik,Estonia,1992 Summer,1992,Summer
138,Arvi Aavik,Estonia,1996 Summer,1996,Summer
139,Nstor Abad Sanjun,Spain,2016 Summer,2016,Summer
140,Nstor Abad Sanjun,Spain,2016 Summer,2016,Summer
141,Nstor Abad Sanjun,Spain,2016 Summer,2016,Summer
142,Nstor Abad Sanjun,Spain,2016 Summer,2016,Summer
143,Nstor Abad Sanjun,Spain,2016 Summer,2016,Summer
144,Nstor Abad Sanjun,Spain,2016 Summer,2016,Summer
145,Patrick Abada,France,1976 Summer,1976,Summer
146,Talaat Abada,Egypt,2000 Summer,2000,Summer
147,Mohamed Jamshid Abadi,Iran,1948 Summer,1948,Summer
148,Antonio Abadia Beci,Spain,2016 Summer,2016,Summer
149,Ren Abadie,France,1956 Summer,1956,Summer
150,Ren Abadie,France,1956 Summer,1956,Summer
151,Borislav Abadzhiev,Bulgaria,1988 Summer,1988,Summer
152,Georgi Abadzhiev,Bulgaria,1924 Summer,1924,Summer
153,Georgi Abadzhiev,Bulgaria,1924 Summer,1924,Summer
154,Ivan Nikolov Abadzhiev,Bulgaria,1956 Summer,1956,Summer
155,Ivan Nikolov Abadzhiev,Bulgaria,1960 Summer,1960,Summer
156,Mikhail Abadzhiev,Bulgaria,1960 Summer,1960,Summer
157,Stefan Abadzhiev,Bulgaria,1960 Summer,1960,Summer
158,Giovanni Abagnale,Italy,2016 Summer,2016,Summer
159,Jos Luis Abajo Gmez,Spain,2008 Summer,2008,Summer
160,M'Bairo Abakar,Chad,1992 Summer,1992,Summer
161,Patimat Abakarova,Azerbaijan,2016 Summer,2016,Summer
162,Mohamed Abakkar,Sudan,1972 Summer,1972,Summer
163,Mariya Vasilyevna Abakumova (-Tarabina),Russia,2008 Summer,2008,Summer
164,Mariya Vasilyevna Abakumova (-Tarabina),Russia,2012 Summer,2012,Summer
165,Pablo Martn Abal,Argentina,2000 Summer,2000,Summer
166,Pablo Martn Abal,Argentina,2000 Summer,2000,Summer
167,Tamara Abalde Daz,Spain,2008 Summer,2008,Summer
168,Jess Iory Aball Martnez,Cuba,2000 Summer,2000,Summer
169,Juan Antonio Aball Delgado,Cuba,1992 Summer,1992,Summer
170,Juan Antonio Aball Delgado,Cuba,1992 Summer,1992,Summer
171,Aleksey Aleksandrovich Abalmasov,Belarus,2004 Summer,2004,Summer
172,Aleksey Aleksandrovich Abalmasov,Belarus,2008 Summer,2008,Summer
173,Luc Abalo,France,2008 Summer,2008,Summer
174,Luc Abalo,France,2012 Summer,2012,Summer
175,Luc Abalo,France,2016 Summer,2016,Summer
176,Mara Laura Abalo,Argentina,2012 Summer,2012,Summer
177,Giorgos Abalof,Greece,2004 Summer,2004,Summer
178,Jouan Patrice Abanda Etong,Cameroon,2000 Summer,2000,Summer
179,Antoine Abang,Cameroon,1968 Summer,1968,Summer
180,Salim Abanoz,Turkey,1996 Summer,1996,Summer
181,Carlos Abarca Gonzlez,Chile,1924 Summer,1924,Summer
182,Jos Mara Abarca Plotas,Spain,1996 Summer,1996,Summer
183,Georgios Abaris,Greece,2004 Summer,2004,Summer
184,Enrique Abaroa Martnez,Mexico,2000 Summer,2000,Summer
